* RegName               			Page		RegAddr			DefData			WrData
*-------------------------------------------------------------------------------------
FrontEndControl						0x00		0x00			0x3c			0x7f
*Page1
TriggerLatency          			0x00		0x01			0xc8			0xc8
HitDetectSLVS           			0x00		0x02			0xa8			0x68
Ipre1                   			0x00		0x03			0x46			0x46
Ipre2                   			0x00		0x04			0x2e			0x14
Ipsf                    			0x00		0x05			0x7a			0x7a
Ipa                     			0x00		0x06			0x6a 			0x5c
Ipaos                   			0x00		0x07			0x4b 			0x0f
Vpafb                  				0x00		0x08			0x60 			0x14
Icomp      							0x00		0x09			0xc4 			0x0f             	
Vpc                     			0x00		0x0a			0x3f 			0x4b  
Vplus                   			0x00		0x0b			0x80 			0x85
VCth                   				0x00		0x0c			0x7f 			0x00
TestPulsePot                   		0x00		0x0d			0x00 			0x00		
SelTestPulseDel&ChanGroup           0x00		0x0e			0x00 			0x00	   
MiscTestPulseCtrl&AnalogMux         0x00		0x0f			0x00 			0x00     	
TestPulseChargePumpCurrent          0x00		0x10			0x64 			0x64    	
TestPulseChargeMirrCascodeVolt      0x00		0x11			0x3f 			0x41        	
CwdWindow&Coincid              		0x00		0x18			0x00 			0x00
MiscStubLogic						0x00		0x19			0x30 			0x30
MaskChannelFrom008downto001			0x00		0x20			0x00 			0xff
MaskChannelFrom016downto009			0x00		0x21			0x00 			0xff
MaskChannelFrom024downto017			0x00		0x22			0x00 			0xff
MaskChannelFrom032downto025			0x00		0x23			0x00 			0xff
MaskChannelFrom040downto033			0x00		0x24			0x00 			0xff
MaskChannelFrom048downto041			0x00		0x25			0x00 			0xff
MaskChannelFrom056downto049			0x00		0x26			0x00 			0xff
MaskChannelFrom064downto057			0x00		0x27			0x00 			0xff
MaskChannelFrom072downto065			0x00		0x28			0x00 			0xff
MaskChannelFrom080downto073			0x00		0x29			0x00 			0xff
MaskChannelFrom088downto081			0x00		0x2a			0x00 			0xff
MaskChannelFrom096downto089			0x00		0x2b			0x00 			0xff
MaskChannelFrom104downto097			0x00		0x2c			0x00 			0xff
MaskChannelFrom112downto105			0x00		0x2d			0x00 			0xff
MaskChannelFrom120downto113			0x00		0x2e			0x00 			0xff
MaskChannelFrom128downto121			0x00		0x2f			0x00 			0xff
MaskChannelFrom136downto129			0x00		0x30			0x00 			0xff
MaskChannelFrom144downto137			0x00		0x31			0x00 			0xff
MaskChannelFrom152downto145			0x00		0x32			0x00 			0xff
MaskChannelFrom160downto153			0x00		0x33			0x00 			0xff
MaskChannelFrom168downto161			0x00		0x34			0x00 			0xff
MaskChannelFrom176downto169			0x00		0x35			0x00 			0xff
MaskChannelFrom184downto177			0x00		0x36			0x00 			0xff
MaskChannelFrom192downto185			0x00		0x37			0x00 			0xff
MaskChannelFrom200downto193			0x00		0x38			0x00 			0xff
MaskChannelFrom208downto201			0x00		0x39			0x00 			0xff
MaskChannelFrom216downto209			0x00		0x3a			0x00 			0xff
MaskChannelFrom224downto217			0x00		0x3b			0x00 			0xff
MaskChannelFrom232downto225			0x00		0x3c			0x00 			0xff
MaskChannelFrom240downto233			0x00		0x3d			0x00 			0xff
MaskChannelFrom248downto241			0x00		0x3e			0x00 			0xff
MaskChannelFrom254downto249			0x00		0x3f			0x00 			0xff
*Page2	
Channel001                			0x01		0x01			0x80			0x80
Channel002                			0x01		0x02			0x80			0x80
Channel003                			0x01		0x03			0x80			0x80
Channel004                			0x01		0x04			0x80			0x80
Channel005                			0x01		0x05			0x80			0x80
Channel006                			0x01		0x06			0x80			0x80
Channel007                			0x01		0x07			0x80			0x80
Channel008                			0x01		0x08			0x80			0x80
Channel009                			0x01		0x09			0x80			0x80
Channel010                			0x01		0x0a			0x80			0x80
Channel011                			0x01		0x0b			0x80			0x80
Channel012                			0x01		0x0c			0x80			0x80
Channel013                			0x01		0x0d			0x80			0x80
Channel014                			0x01		0x0e			0x80			0x80
Channel015                			0x01		0x0f			0x80			0x80
Channel016                			0x01		0x10			0x80			0x80
Channel017                			0x01		0x11			0x80			0x80
Channel018                			0x01		0x12			0x80			0x80
Channel019                			0x01		0x13			0x80			0x80
Channel020                			0x01		0x14			0x80			0x80
Channel021                			0x01		0x15			0x80			0x80
Channel022                			0x01		0x16			0x80			0x80
Channel023                			0x01		0x17			0x80			0x80
Channel024                			0x01		0x18			0x80			0x80
Channel025                			0x01		0x19			0x80			0x80
Channel026                			0x01		0x1a			0x80			0x80
Channel027                			0x01		0x1b			0x80			0x80
Channel028                			0x01		0x1c			0x80			0x80
Channel029                			0x01		0x1d			0x80			0x80
Channel030                			0x01		0x1e			0x80			0x80
Channel031                			0x01		0x1f			0x80			0x80
Channel032                			0x01		0x20			0x80			0x80
Channel033                			0x01		0x21			0x80			0x80
Channel034                			0x01		0x22			0x80			0x80
